AÑO,ENTIDAD,CODIGO,NOMBRE,PRESUPUESTO INICIAL,PRESUPUESTO DEFINITIVO,RECAUDO EFECTIVO,RECAUDO SIN SITUACIÓN DE FONDOS,TOTAL INGRESOS,OTRAS DEST - TIENE DOC SOPORTE,OTRAS DEST - NRO DOCUMENTO,OTRAS DEST - % DESTINACIÓN,OTRAS DEST - VALOR DESTINACIÓN
2016,Balboa - Risaralda,TI,INGRESOS TOTALES,7560325,12577030,9709751,2893744,12603495,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A,INGRESOS CORRIENTES,7412331,9590057,6774696,2893744,9668440,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A.1,TRIBUTARIOS ,1965001,3340249,3578602,0,3578602,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A.1.25,SOBRETASA BOMBERIL,10000,29969,31014,0,31014,Si,8,1,0
2016,Balboa - Risaralda,TI.A.1.26,SOBRETASA A LA GASOLINA,170000,170000,178120,0,178120,No,NA,0,0
2016,Balboa - Risaralda,TI.A.1.28,ESTAMPILLAS,170000,170000,291251,0,291251,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A.1.28.1,ESTAMPILLA PARA EL BIENESTAR DEL ADULTO MAYOR,100000,100000,212523,0,212523,No,NA,0,0
2016,Balboa - Risaralda,TI.A.1.28.4,ESTAMPILLAS PRO CULTURA,70000,70000,78728,0,78728,Si,8,1,0
2016,Balboa - Risaralda,TI.A.1.3,IMPUESTO PREDIAL UNIFICADO,580000,789312,796779,0,796779,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A.1.3.1,IMPUESTO PREDIAL UNIFICADO VIGENCIA ACTUAL,535000,627658,633003,0,633003,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A.1.3.1.1,IMPUESTO PREDIAL UNIFICADO SUELO URBANO VIGENCIA ACTUAL,10700,12553,628972,0,628972,No,NA,0,0
2016,Balboa - Risaralda,TI.A.1.3.1.2,IMPUESTO PREDIAL UNIFICADO SUELO RURAL VIGENCIA ACTUAL,524300,615105,4031,0,4031,No,NA,0,0
2016,Balboa - Risaralda,TI.A.1.3.2,IMPUESTO PREDIAL UNIFICADO VIGENCIA ANTERIORES,45000,161654,163776,0,163776,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A.1.3.2.1,IMPUESTO PREDIAL UNIFICADO SUELO URBANO VIGENCIA ANTERIORES,900,3233,162508,0,162508,No,NA,0,0
2016,Balboa - Risaralda,TI.A.1.3.2.2,IMPUESTO PREDIAL UNIFICADO SUELO RURAL VIGENCIA ANTERIORES,44100,158421,1268,0,1268,No,NA,0,0
2016,Balboa - Risaralda,TI.A.1.30,CONTRIBUCIÓN SOBRE CONTRATOS DE OBRAS PÚBLICAS,5000,40682,59306,0,59306,No,NA,0,0
2016,Balboa - Risaralda,TI.A.1.4,SOBRETASA AMBIENTAL ,80000,129412,117641,0,117641,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A.1.4.1,SOBRETASA AMBIENTAL VIGENCIA ACTUAL,80000,129412,117641,0,117641,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A.1.4.1.1,CON DESTINO A LA CORPORACIÓN AMBIENTAL (SÓLO MUNICIPIOS QUE ADOPTEN SOBRETASA),80000,129412,117641,0,117641,Si,8,1,0
2016,Balboa - Risaralda,TI.A.1.40,OTROS INGRESOS TRIBUTARIOS,28001,47128,70996,0,70996,No,NA,0,0
2016,Balboa - Risaralda,TI.A.1.5,IMPUESTO DE INDUSTRIA Y COMERCIO ,920000,1956945,2025064,0,2025064,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A.1.5.1,IMPUESTO DE INDUSTRIA Y COMERCIO DE LA VIGENCIA ACTUAL,920000,1956945,2025064,0,2025064,No,NA,0,0
2016,Balboa - Risaralda,TI.A.1.8,IMPUESTO DE DELINEACIÓN,2000,6801,8431,0,8431,No,NA,0,0
2016,Balboa - Risaralda,TI.A.2,NO TRIBUTARIOS,5447330,6249808,3196094,2893744,6089838,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A.2.2,MULTAS Y SANCIONES,21001,24670,27275,0,27275,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A.2.2.15,OTRAS MULTAS Y SANCIONES,1000,1000,1798,0,1798,No,NA,0,0
2016,Balboa - Risaralda,TI.A.2.2.4,MULTAS DE GOBIERNO ,1,34,68,0,68,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A.2.2.4.1,REGISTRO DE MARCAS Y HERRETES,1,34,68,0,68,No,NA,0,0
2016,Balboa - Risaralda,TI.A.2.2.5,INTERESES MORATORIOS,20000,23636,25409,0,25409,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A.2.2.5.1,PREDIAL,20000,23636,25409,0,25409,No,NA,0,0
2016,Balboa - Risaralda,TI.A.2.5,RENTAS CONTRACTUALES,2501,2501,0,0,0,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A.2.5.1,ARRENDAMIENTOS,2000,2000,0,0,0,No,NA,0,0
2016,Balboa - Risaralda,TI.A.2.5.2,ALQUILER DE MAQUINARIA Y EQUIPOS,501,501,0,0,0,No,NA,0,0
2016,Balboa - Risaralda,TI.A.2.6,TRASFERENCIAS,5385694,6158613,3104650,2893744,5998394,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A.2.6.1,TRANSFERENCIAS DE LIBRE DESTINACIÓN,658786,822800,820406,0,820406,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A.2.6.1.1,DEL NIVEL NACIONAL,657786,817538,817538,0,817538,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A.2.6.1.1.1,"SGP: LIBRE DESTINACIÓN DE PARTICIPACIÓN DE PROPÓSITO GENERAL MUNICIPIOS CATEGORÍAS 4, 5 Y 6",657785,810706,810706,0,810706,No,NA,0,0
2016,Balboa - Risaralda,TI.A.2.6.1.1.2,COLJUEGOS (MÁXIMO EL 25 % EN LOS TÉRMINOS DEL ART. 60 DE LA LEY 715),1,6832,6832,0,6832,No,NA,0,0
2016,Balboa - Risaralda,TI.A.2.6.1.2,DEL NIVEL DEPARTAMENTAL,1000,5262,2868,0,2868,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A.2.6.1.2.1,DE VEHÍCULOS AUTOMOTORES,1000,5262,2868,0,2868,No,NA,0,0
2016,Balboa - Risaralda,TI.A.2.6.2,TRASFERENCIAS PARA INVERSIÓN,4726908,5335813,2284244,2893744,5177988,No,No Aplica,0,0
2016,Balboa - Risaralda,TI.A.2.6.2.1,DEL NIVEL NACIONAL,4571905,4887152,2017644,2893744,4911388,No,No Aplica,0,0
